ticker;origen;destino
1INCHBTC;1INCH;BTC
1INCHBUSD;1INCH;BUSD
1INCHDOWNUSDT;1INCHDOWN;USDT
1INCHUPUSDT;1INCHUP;USDT
1INCHUSDT;1INCH;USDT
AAVEBKRW;AAVE;BKRW
AAVEBNB;AAVE;BNB
AAVEBTC;AAVE;BTC
AAVEBUSD;AAVE;BUSD
AAVEDOWNUSDT;AAVEDOWN;USDT
AAVEETH;AAVE;ETH
AAVEUPUSDT;AAVEUP;USDT
AAVEUSDT;AAVE;USDT
ACMBTC;ACM;BTC
ACMBUSD;ACM;BUSD
ACMUSDT;ACM;USDT
ADAAUD;ADA;AUD
ADABKRW;ADA;BKRW
ADABNB;ADA;BNB
ADABRL;ADA;BRL
ADABTC;ADA;BTC
ADABUSD;ADA;BUSD
ADADOWNUSDT;ADADOWN;USDT
ADAETH;ADA;ETH
ADAEUR;ADA;EUR
ADAGBP;ADA;GBP
ADAPAX;ADA;PAX
ADARUB;ADA;RUB
ADATRY;ADA;TRY
ADATUSD;ADA;TUSD
ADAUPUSDT;ADAUP;USDT
ADAUSDC;ADA;USDC
ADAUSDT;ADA;USDT
ADXBNB;ADX;BNB
ADXBTC;ADX;BTC
ADXETH;ADX;ETH
AEBNB;AE;BNB
AEBTC;AE;BTC
AEETH;AE;ETH
AERGOBTC;AERGO;BTC
AERGOBUSD;AERGO;BUSD
AGIBNB;AGI;BNB
AGIBTC;AGI;BTC
AGIETH;AGI;ETH
AIONBNB;AION;BNB
AIONBTC;AION;BTC
AIONBUSD;AION;BUSD
AIONETH;AION;ETH
AIONUSDT;AION;USDT
AKROBTC;AKRO;BTC
AKROUSDT;AKRO;USDT
ALGOBNB;ALGO;BNB
ALGOBTC;ALGO;BTC
ALGOBUSD;ALGO;BUSD
ALGOPAX;ALGO;PAX
ALGOTUSD;ALGO;TUSD
ALGOUSDC;ALGO;USDC
ALGOUSDT;ALGO;USDT
ALICEBTC;ALICE;BTC
ALICEBUSD;ALICE;BUSD
ALICEUSDT;ALICE;USDT
ALPHABNB;ALPHA;BNB
ALPHABTC;ALPHA;BTC
ALPHABUSD;ALPHA;BUSD
ALPHAUSDT;ALPHA;USDT
AMBBNB;AMB;BNB
AMBBTC;AMB;BTC
AMBETH;AMB;ETH
ANKRBNB;ANKR;BNB
ANKRBTC;ANKR;BTC
ANKRPAX;ANKR;PAX
ANKRTUSD;ANKR;TUSD
ANKRUSDC;ANKR;USDC
ANKRUSDT;ANKR;USDT
ANTBNB;ANT;BNB
ANTBTC;ANT;BTC
ANTBUSD;ANT;BUSD
ANTUSDT;ANT;USDT
APPCBNB;APPC;BNB
APPCBTC;APPC;BTC
APPCETH;APPC;ETH
ARDRBNB;ARDR;BNB
ARDRBTC;ARDR;BTC
ARDRETH;ARDR;ETH
ARDRUSDT;ARDR;USDT
ARKBTC;ARK;BTC
ARKETH;ARK;ETH
ARNBTC;ARN;BTC
ARNETH;ARN;ETH
ARPABNB;ARPA;BNB
ARPABTC;ARPA;BTC
ARPAUSDT;ARPA;USDT
ASRBTC;ASR;BTC
ASRUSDT;ASR;USDT
ASTBTC;AST;BTC
ASTETH;AST;ETH
ATMBTC;ATM;BTC
ATMUSDT;ATM;USDT
ATOMBNB;ATOM;BNB
ATOMBTC;ATOM;BTC
ATOMBUSD;ATOM;BUSD
ATOMPAX;ATOM;PAX
ATOMTUSD;ATOM;TUSD
ATOMUSDC;ATOM;USDC
ATOMUSDT;ATOM;USDT
AUCTIONBTC;AUCTION;BTC
AUCTIONBUSD;AUCTION;BUSD
AUDBUSD;AUD;BUSD
AUDIOBTC;AUDIO;BTC
AUDIOBUSD;AUDIO;BUSD
AUDIOUSDT;AUDIO;USDT
AUDUSDT;AUD;USDT
AUTOBTC;AUTO;BTC
AUTOBUSD;AUTO;BUSD
AUTOUSDT;AUTO;USDT
AVABNB;AVA;BNB
AVABTC;AVA;BTC
AVABUSD;AVA;BUSD
AVAUSDT;AVA;USDT
AVAXBNB;AVAX;BNB
AVAXBTC;AVAX;BTC
AVAXBUSD;AVAX;BUSD
AVAXEUR;AVAX;EUR
AVAXTRY;AVAX;TRY
AVAXUSDT;AVAX;USDT
AXSBNB;AXS;BNB
AXSBTC;AXS;BTC
AXSBUSD;AXS;BUSD
AXSUSDT;AXS;USDT
BADGERBTC;BADGER;BTC
BADGERBUSD;BADGER;BUSD
BADGERUSDT;BADGER;USDT
BAKEBNB;BAKE;BNB
BAKEBUSD;BAKE;BUSD
BAKEUSDT;BAKE;USDT
BALBNB;BAL;BNB
BALBTC;BAL;BTC
BALBUSD;BAL;BUSD
BALUSDT;BAL;USDT
BANDBNB;BAND;BNB
BANDBTC;BAND;BTC
BANDBUSD;BAND;BUSD
BANDUSDT;BAND;USDT
BARBTC;BAR;BTC
BARBUSD;BAR;BUSD
BARUSDT;BAR;USDT
BATBNB;BAT;BNB
BATBTC;BAT;BTC
BATBUSD;BAT;BUSD
BATETH;BAT;ETH
BATPAX;BAT;PAX
BATTUSD;BAT;TUSD
BATUSDC;BAT;USDC
BATUSDT;BAT;USDT
BCCBNB;BCC;BNB
BCCBTC;BCC;BTC
BCCETH;BCC;ETH
BCCUSDT;BCC;USDT
BCDBTC;BCD;BTC
BCDETH;BCD;ETH
BCHABCBTC;BCHABC;BTC
BCHABCBUSD;BCHABC;BUSD
BCHABCPAX;BCHABC;PAX
BCHABCTUSD;BCHABC;TUSD
BCHABCUSDC;BCHABC;USDC
BCHABCUSDT;BCHABC;USDT
BCHABUSD;BCHA;BUSD
BCHBNB;BCH;BNB
BCHBTC;BCH;BTC
BCHBUSD;BCH;BUSD
BCHDOWNUSDT;BCHDOWN;USDT
BCHEUR;BCH;EUR
BCHPAX;BCH;PAX
BCHSVBTC;BCHSV;BTC
BCHSVPAX;BCHSV;PAX
BCHSVTUSD;BCHSV;TUSD
BCHSVUSDC;BCHSV;USDC
BCHSVUSDT;BCHSV;USDT
BCHTUSD;BCH;TUSD
BCHUPUSDT;BCHUP;USDT
BCHUSDC;BCH;USDC
BCHUSDT;BCH;USDT
BCNBNB;BCN;BNB
BCNBTC;BCN;BTC
BCNETH;BCN;ETH
BCPTBNB;BCPT;BNB
BCPTBTC;BCPT;BTC
BCPTETH;BCPT;ETH
BCPTPAX;BCPT;PAX
BCPTTUSD;BCPT;TUSD
BCPTUSDC;BCPT;USDC
BEAMBNB;BEAM;BNB
BEAMBTC;BEAM;BTC
BEAMUSDT;BEAM;USDT
BEARBUSD;BEAR;BUSD
BEARUSDT;BEAR;USDT
BELBNB;BEL;BNB
BELBTC;BEL;BTC
BELBUSD;BEL;BUSD
BELUSDT;BEL;USDT
BETHETH;BETH;ETH
BGBPUSDC;BGBP;USDC
BIFIBNB;BIFI;BNB
BIFIBUSD;BIFI;BUSD
BKRWBUSD;BKRW;BUSD
BKRWUSDT;BKRW;USDT
BLZBNB;BLZ;BNB
BLZBTC;BLZ;BTC
BLZBUSD;BLZ;BUSD
BLZETH;BLZ;ETH
BLZUSDT;BLZ;USDT
BNBAUD;BNB;AUD
BNBBEARBUSD;BNBBEAR;BUSD
BNBBEARUSDT;BNBBEAR;USDT
BNBBIDR;BNB;BIDR
BNBBKRW;BNB;BKRW
BNBBRL;BNB;BRL
BNBBTC;BNB;BTC
BNBBULLBUSD;BNBBULL;BUSD
BNBBULLUSDT;BNBBULL;USDT
BNBBUSD;BNB;BUSD
BNBDAI;BNB;DAI
BNBDOWNUSDT;BNBDOWN;USDT
BNBETH;BNB;ETH
BNBEUR;BNB;EUR
BNBGBP;BNB;GBP
BNBIDRT;BNB;IDRT
BNBNGN;BNB;NGN
BNBPAX;BNB;PAX
BNBRUB;BNB;RUB
BNBTRY;BNB;TRY
BNBTUSD;BNB;TUSD
BNBUAH;BNB;UAH
BNBUPUSDT;BNBUP;USDT
BNBUSDC;BNB;USDC
BNBUSDS;BNB;USDS
BNBUSDT;BNB;USDT
BNBZAR;BNB;ZAR
BNTBTC;BNT;BTC
BNTBUSD;BNT;BUSD
BNTETH;BNT;ETH
BNTUSDT;BNT;USDT
BOTBTC;BOT;BTC
BOTBUSD;BOT;BUSD
BQXBTC;BQX;BTC
BQXETH;BQX;ETH
BRDBNB;BRD;BNB
BRDBTC;BRD;BTC
BRDETH;BRD;ETH
BTCAUD;BTC;AUD
BTCBBTC;BTCB;BTC
BTCBIDR;BTC;BIDR
BTCBKRW;BTC;BKRW
BTCBRL;BTC;BRL
BTCBUSD;BTC;BUSD
BTCDAI;BTC;DAI
BTCDOWNUSDT;BTCDOWN;USDT
BTCEUR;BTC;EUR
BTCGBP;BTC;GBP
BTCIDRT;BTC;IDRT
BTCNGN;BTC;NGN
BTCPAX;BTC;PAX
BTCRUB;BTC;RUB
BTCSTBTC;BTCST;BTC
BTCSTBUSD;BTCST;BUSD
BTCSTUSDT;BTCST;USDT
BTCTRY;BTC;TRY
BTCTUSD;BTC;TUSD
BTCUAH;BTC;UAH
BTCUPUSDT;BTCUP;USDT
BTCUSDC;BTC;USDC
BTCUSDS;BTC;USDS
BTCUSDT;BTC;USDT
BTCVAI;BTC;VAI
BTCZAR;BTC;ZAR
BTGBTC;BTG;BTC
BTGBUSD;BTG;BUSD
BTGETH;BTG;ETH
BTGUSDT;BTG;USDT
BTSBNB;BTS;BNB
BTSBTC;BTS;BTC
BTSBUSD;BTS;BUSD
BTSETH;BTS;ETH
BTSUSDT;BTS;USDT
BTTBNB;BTT;BNB
BTTBRL;BTT;BRL
BTTBTC;BTT;BTC
BTTBUSD;BTT;BUSD
BTTEUR;BTT;EUR
BTTPAX;BTT;PAX
BTTTRX;BTT;TRX
BTTTRY;BTT;TRY
BTTTUSD;BTT;TUSD
BTTUSDC;BTT;USDC
BTTUSDT;BTT;USDT
BULLBUSD;BULL;BUSD
BULLUSDT;BULL;USDT
BURGERBNB;BURGER;BNB
BURGERBUSD;BURGER;BUSD
BURGERUSDT;BURGER;USDT
BUSDBIDR;BUSD;BIDR
BUSDBKRW;BUSD;BKRW
BUSDBRL;BUSD;BRL
BUSDBVND;BUSD;BVND
BUSDDAI;BUSD;DAI
BUSDIDRT;BUSD;IDRT
BUSDNGN;BUSD;NGN
BUSDRUB;BUSD;RUB
BUSDTRY;BUSD;TRY
BUSDUSDT;BUSD;USDT
BUSDVAI;BUSD;VAI
BUSDZAR;BUSD;ZAR
BZRXBNB;BZRX;BNB
BZRXBTC;BZRX;BTC
BZRXBUSD;BZRX;BUSD
BZRXUSDT;BZRX;USDT
CAKEBNB;CAKE;BNB
CAKEBTC;CAKE;BTC
CAKEBUSD;CAKE;BUSD
CAKEGBP;CAKE;GBP
CAKEUSDT;CAKE;USDT
CDTBTC;CDT;BTC
CDTETH;CDT;ETH
CELOBTC;CELO;BTC
CELOUSDT;CELO;USDT
CELRBNB;CELR;BNB
CELRBTC;CELR;BTC
CELRUSDT;CELR;USDT
CFXBTC;CFX;BTC
CFXBUSD;CFX;BUSD
CFXUSDT;CFX;USDT
CHATBTC;CHAT;BTC
CHATETH;CHAT;ETH
CHRBNB;CHR;BNB
CHRBTC;CHR;BTC
CHRUSDT;CHR;USDT
CHZBNB;CHZ;BNB
CHZBRL;CHZ;BRL
CHZBTC;CHZ;BTC
CHZBUSD;CHZ;BUSD
CHZEUR;CHZ;EUR
CHZGBP;CHZ;GBP
CHZTRY;CHZ;TRY
CHZUSDT;CHZ;USDT
CKBBTC;CKB;BTC
CKBBUSD;CKB;BUSD
CKBUSDT;CKB;USDT
CLOAKBTC;CLOAK;BTC
CLOAKETH;CLOAK;ETH
CMTBNB;CMT;BNB
CMTBTC;CMT;BTC
CMTETH;CMT;ETH
CNDBNB;CND;BNB
CNDBTC;CND;BTC
CNDETH;CND;ETH
COCOSBNB;COCOS;BNB
COCOSBTC;COCOS;BTC
COCOSUSDT;COCOS;USDT
COMPBNB;COMP;BNB
COMPBTC;COMP;BTC
COMPBUSD;COMP;BUSD
COMPUSDT;COMP;USDT
COSBNB;COS;BNB
COSBTC;COS;BTC
COSUSDT;COS;USDT
COTIBNB;COTI;BNB
COTIBTC;COTI;BTC
COTIUSDT;COTI;USDT
COVERBUSD;COVER;BUSD
COVERETH;COVER;ETH
CREAMBNB;CREAM;BNB
CREAMBUSD;CREAM;BUSD
CRVBNB;CRV;BNB
CRVBTC;CRV;BTC
CRVBUSD;CRV;BUSD
CRVUSDT;CRV;USDT
CTKBNB;CTK;BNB
CTKBTC;CTK;BTC
CTKBUSD;CTK;BUSD
CTKUSDT;CTK;USDT
CTSIBNB;CTSI;BNB
CTSIBTC;CTSI;BTC
CTSIBUSD;CTSI;BUSD
CTSIUSDT;CTSI;USDT
CTXCBNB;CTXC;BNB
CTXCBTC;CTXC;BTC
CTXCUSDT;CTXC;USDT
CVCBNB;CVC;BNB
CVCBTC;CVC;BTC
CVCETH;CVC;ETH
CVCUSDT;CVC;USDT
CVPBUSD;CVP;BUSD
CVPETH;CVP;ETH
DAIBNB;DAI;BNB
DAIBTC;DAI;BTC
DAIBUSD;DAI;BUSD
DAIUSDT;DAI;USDT
DASHBNB;DASH;BNB
DASHBTC;DASH;BTC
DASHBUSD;DASH;BUSD
DASHETH;DASH;ETH
DASHUSDT;DASH;USDT
DATABTC;DATA;BTC
DATABUSD;DATA;BUSD
DATAETH;DATA;ETH
DATAUSDT;DATA;USDT
DCRBNB;DCR;BNB
DCRBTC;DCR;BTC
DCRBUSD;DCR;BUSD
DCRUSDT;DCR;USDT
DEGOBTC;DEGO;BTC
DEGOBUSD;DEGO;BUSD
DEGOUSDT;DEGO;USDT
DENTBTC;DENT;BTC
DENTETH;DENT;ETH
DENTUSDT;DENT;USDT
DEXEBUSD;DEXE;BUSD
DEXEETH;DEXE;ETH
DFBUSD;DFBUSD;#¡VALOR!
DFETH;DFETH;#¡VALOR!
DGBBNB;DGB;BNB
DGBBTC;DGB;BTC
DGBBUSD;DGB;BUSD
DGBUSDT;DGB;USDT
DGDBTC;DGD;BTC
DGDETH;DGD;ETH
DIABNB;DIA;BNB
DIABTC;DIA;BTC
DIABUSD;DIA;BUSD
DIAUSDT;DIA;USDT
DLTBNB;DLT;BNB
DLTBTC;DLT;BTC
DLTETH;DLT;ETH
DNTBTC;DNT;BTC
DNTBUSD;DNT;BUSD
DNTETH;DNT;ETH
DNTUSDT;DNT;USDT
DOCKBTC;DOCK;BTC
DOCKETH;DOCK;ETH
DOCKUSDT;DOCK;USDT
DODOBTC;DODO;BTC
DODOBUSD;DODO;BUSD
DODOUSDT;DODO;USDT
DOGEAUD;DOGE;AUD
DOGEBNB;DOGE;BNB
DOGEBRL;DOGE;BRL
DOGEBTC;DOGE;BTC
DOGEBUSD;DOGE;BUSD
DOGEEUR;DOGE;EUR
DOGEGBP;DOGE;GBP
DOGEPAX;DOGE;PAX
DOGERUB;DOGE;RUB
DOGETRY;DOGE;TRY
DOGEUSDC;DOGE;USDC
DOGEUSDT;DOGE;USDT
DOTBIDR;DOT;BIDR
DOTBKRW;DOT;BKRW
DOTBNB;DOT;BNB
DOTBRL;DOT;BRL
DOTBTC;DOT;BTC
DOTBUSD;DOT;BUSD
DOTDOWNUSDT;DOTDOWN;USDT
DOTEUR;DOT;EUR
DOTGBP;DOT;GBP
DOTNGN;DOT;NGN
DOTTRY;DOT;TRY
DOTUPUSDT;DOTUP;USDT
DOTUSDT;DOT;USDT
DREPBNB;DREP;BNB
DREPBTC;DREP;BTC
DREPUSDT;DREP;USDT
DUSKBNB;DUSK;BNB
DUSKBTC;DUSK;BTC
DUSKPAX;DUSK;PAX
DUSKUSDC;DUSK;USDC
DUSKUSDT;DUSK;USDT
EASYBTC;EASY;BTC
EASYETH;EASY;ETH
EDOBTC;EDO;BTC
EDOETH;EDO;ETH
EGLDBNB;EGLD;BNB
EGLDBTC;EGLD;BTC
EGLDBUSD;EGLD;BUSD
EGLDEUR;EGLD;EUR
EGLDUSDT;EGLD;USDT
ELFBTC;ELF;BTC
ELFETH;ELF;ETH
ENGBTC;ENG;BTC
ENGETH;ENG;ETH
ENJBNB;ENJ;BNB
ENJBRL;ENJ;BRL
ENJBTC;ENJ;BTC
ENJBUSD;ENJ;BUSD
ENJETH;ENJ;ETH
ENJEUR;ENJ;EUR
ENJGBP;ENJ;GBP
ENJUSDT;ENJ;USDT
EOSBEARBUSD;EOSBEAR;BUSD
EOSBEARUSDT;EOSBEAR;USDT
EOSBNB;EOS;BNB
EOSBTC;EOS;BTC
EOSBULLBUSD;EOSBULL;BUSD
EOSBULLUSDT;EOSBULL;USDT
EOSBUSD;EOS;BUSD
EOSDOWNUSDT;EOSDOWN;USDT
EOSETH;EOS;ETH
EOSEUR;EOS;EUR
EOSPAX;EOS;PAX
EOSTRY;EOS;TRY
EOSTUSD;EOS;TUSD
EOSUPUSDT;EOSUP;USDT
EOSUSDC;EOS;USDC
EOSUSDT;EOS;USDT
EPSBTC;EPS;BTC
EPSBUSD;EPS;BUSD
EPSUSDT;EPS;USDT
ERDBNB;ERD;BNB
ERDBTC;ERD;BTC
ERDBUSD;ERD;BUSD
ERDPAX;ERD;PAX
ERDUSDC;ERD;USDC
ERDUSDT;ERD;USDT
ETCBNB;ETC;BNB
ETCBTC;ETC;BTC
ETCBUSD;ETC;BUSD
ETCETH;ETC;ETH
ETCPAX;ETC;PAX
ETCTUSD;ETC;TUSD
ETCUSDC;ETC;USDC
ETCUSDT;ETC;USDT
ETHAUD;ETH;AUD
ETHBEARBUSD;ETHBEAR;BUSD
ETHBEARUSDT;ETHBEAR;USDT
ETHBIDR;ETH;BIDR
ETHBKRW;ETH;BKRW
ETHBRL;ETH;BRL
ETHBTC;ETH;BTC
ETHBULLBUSD;ETHBULL;BUSD
ETHBULLUSDT;ETHBULL;USDT
ETHBUSD;ETH;BUSD
ETHDAI;ETH;DAI
ETHDOWNUSDT;ETHDOWN;USDT
ETHEUR;ETH;EUR
ETHGBP;ETH;GBP
ETHNGN;ETH;NGN
ETHPAX;ETH;PAX
ETHRUB;ETH;RUB
ETHTRY;ETH;TRY
ETHTUSD;ETH;TUSD
ETHUPUSDT;ETHUP;USDT
ETHUSDC;ETH;USDC
ETHUSDT;ETH;USDT
ETHZAR;ETH;ZAR
EURBUSD;EUR;BUSD
EURUSDT;EUR;USDT
EVXBTC;EVX;BTC
EVXETH;EVX;ETH
EZBTC;EZBTC;#¡VALOR!
EZETH;EZETH;#¡VALOR!
FETBNB;FET;BNB
FETBTC;FET;BTC
FETUSDT;FET;USDT
FILBNB;FIL;BNB
FILBTC;FIL;BTC
FILBUSD;FIL;BUSD
FILDOWNUSDT;FILDOWN;USDT
FILUPUSDT;FILUP;USDT
FILUSDT;FIL;USDT
FIOBNB;FIO;BNB
FIOBTC;FIO;BTC
FIOBUSD;FIO;BUSD
FIOUSDT;FIO;USDT
FIROBTC;FIRO;BTC
FIROETH;FIRO;ETH
FIROUSDT;FIRO;USDT
FISBTC;FIS;BTC
FISBUSD;FIS;BUSD
FISUSDT;FIS;USDT
FLMBNB;FLM;BNB
FLMBTC;FLM;BTC
FLMBUSD;FLM;BUSD
FLMUSDT;FLM;USDT
FORBTC;FOR;BTC
FORBUSD;FOR;BUSD
FORTHBTC;FORTH;BTC
FORTHBUSD;FORTH;BUSD
FORTHUSDT;FORTH;USDT
FRONTBTC;FRONT;BTC
FRONTBUSD;FRONT;BUSD
FRONTETH;FRONT;ETH
FTMBNB;FTM;BNB
FTMBTC;FTM;BTC
FTMPAX;FTM;PAX
FTMTUSD;FTM;TUSD
FTMUSDC;FTM;USDC
FTMUSDT;FTM;USDT
FTTBNB;FTT;BNB
FTTBTC;FTT;BTC
FTTUSDT;FTT;USDT
FUELBTC;FUEL;BTC
FUELETH;FUEL;ETH
FUNBTC;FUN;BTC
FUNETH;FUN;ETH
FUNUSDT;FUN;USDT
FXSBTC;FXS;BTC
FXSBUSD;FXS;BUSD
GASBTC;GAS;BTC
GBPBUSD;GBP;BUSD
GBPUSDT;GBP;USDT
GHSTBUSD;GHST;BUSD
GHSTETH;GHST;ETH
GLMBTC;GLM;BTC
GLMETH;GLM;ETH
GNTBNB;GNT;BNB
GNTBTC;GNT;BTC
GNTETH;GNT;ETH
GOBNB;GOBNB;#¡VALOR!
GOBTC;GOBTC;#¡VALOR!
GRSBTC;GRS;BTC
GRSETH;GRS;ETH
GRTBTC;GRT;BTC
GRTBUSD;GRT;BUSD
GRTETH;GRT;ETH
GRTEUR;GRT;EUR
GRTUSDT;GRT;USDT
GTOBNB;GTO;BNB
GTOBTC;GTO;BTC
GTOETH;GTO;ETH
GTOPAX;GTO;PAX
GTOTUSD;GTO;TUSD
GTOUSDC;GTO;USDC
GTOUSDT;GTO;USDT
GVTBTC;GVT;BTC
GVTETH;GVT;ETH
GXSBTC;GXS;BTC
GXSETH;GXS;ETH
GXSUSDT;GXS;USDT
HARDBNB;HARD;BNB
HARDBTC;HARD;BTC
HARDBUSD;HARD;BUSD
HARDUSDT;HARD;USDT
HBARBNB;HBAR;BNB
HBARBTC;HBAR;BTC
HBARBUSD;HBAR;BUSD
HBARUSDT;HBAR;USDT
HCBTC;HCBTC;#¡VALOR!
HCETH;HCETH;#¡VALOR!
HCUSDT;HCUSDT;#¡VALOR!
HEGICBUSD;HEGIC;BUSD
HEGICETH;HEGIC;ETH
HIVEBNB;HIVE;BNB
HIVEBTC;HIVE;BTC
HIVEUSDT;HIVE;USDT
HNTBTC;HNT;BTC
HNTUSDT;HNT;USDT
HOTBNB;HOT;BNB
HOTBRL;HOT;BRL
HOTBTC;HOT;BTC
HOTBUSD;HOT;BUSD
HOTETH;HOT;ETH
HOTEUR;HOT;EUR
HOTTRY;HOT;TRY
HOTUSDT;HOT;USDT
HSRBTC;HSR;BTC
HSRETH;HSR;ETH
ICNBTC;ICN;BTC
ICNETH;ICN;ETH
ICXBNB;ICX;BNB
ICXBTC;ICX;BTC
ICXBUSD;ICX;BUSD
ICXETH;ICX;ETH
ICXUSDT;ICX;USDT
IDEXBTC;IDEX;BTC
IDEXBUSD;IDEX;BUSD
INJBNB;INJ;BNB
INJBTC;INJ;BTC
INJBUSD;INJ;BUSD
INJUSDT;INJ;USDT
INSBTC;INS;BTC
INSETH;INS;ETH
IOSTBNB;IOST;BNB
IOSTBTC;IOST;BTC
IOSTBUSD;IOST;BUSD
IOSTETH;IOST;ETH
IOSTUSDT;IOST;USDT
IOTABNB;IOTA;BNB
IOTABTC;IOTA;BTC
IOTABUSD;IOTA;BUSD
IOTAETH;IOTA;ETH
IOTAUSDT;IOTA;USDT
IOTXBTC;IOTX;BTC
IOTXETH;IOTX;ETH
IOTXUSDT;IOTX;USDT
IQBNB;IQBNB;#¡VALOR!
IQBUSD;IQBUSD;#¡VALOR!
IRISBNB;IRIS;BNB
IRISBTC;IRIS;BTC
IRISBUSD;IRIS;BUSD
IRISUSDT;IRIS;USDT
JSTBNB;JST;BNB
JSTBTC;JST;BTC
JSTBUSD;JST;BUSD
JSTUSDT;JST;USDT
JUVBTC;JUV;BTC
JUVBUSD;JUV;BUSD
JUVUSDT;JUV;USDT
KAVABNB;KAVA;BNB
KAVABTC;KAVA;BTC
KAVAUSDT;KAVA;USDT
