ticker;origen;destino
KEYBTC;KEY;BTC
KEYETH;KEY;ETH
KEYUSDT;KEY;USDT
KMDBTC;KMD;BTC
KMDBUSD;KMD;BUSD
KMDETH;KMD;ETH
KMDUSDT;KMD;USDT
KNCBTC;KNC;BTC
KNCBUSD;KNC;BUSD
KNCETH;KNC;ETH
KNCUSDT;KNC;USDT
KP3RBNB;KP3R;BNB
KP3RBUSD;KP3R;BUSD
KSMBNB;KSM;BNB
KSMBTC;KSM;BTC
KSMBUSD;KSM;BUSD
KSMUSDT;KSM;USDT
LENDBKRW;LEND;BKRW
LENDBTC;LEND;BTC
LENDBUSD;LEND;BUSD
LENDETH;LEND;ETH
LENDUSDT;LEND;USDT
LINABTC;LINA;BTC
LINABUSD;LINA;BUSD
LINAUSDT;LINA;USDT
LINKAUD;LINK;AUD
LINKBKRW;LINK;BKRW
LINKBRL;LINK;BRL
LINKBTC;LINK;BTC
LINKBUSD;LINK;BUSD
LINKDOWNUSDT;LINKDOWN;USDT
LINKETH;LINK;ETH
LINKEUR;LINK;EUR
LINKGBP;LINK;GBP
LINKNGN;LINK;NGN
LINKPAX;LINK;PAX
LINKTRY;LINK;TRY
LINKTUSD;LINK;TUSD
LINKUPUSDT;LINKUP;USDT
LINKUSDC;LINK;USDC
LINKUSDT;LINK;USDT
LITBTC;LIT;BTC
LITBUSD;LIT;BUSD
LITUSDT;LIT;USDT
LOOMBNB;LOOM;BNB
LOOMBTC;LOOM;BTC
LOOMETH;LOOM;ETH
LRCBTC;LRC;BTC
LRCBUSD;LRC;BUSD
LRCETH;LRC;ETH
LRCUSDT;LRC;USDT
LSKBNB;LSK;BNB
LSKBTC;LSK;BTC
LSKETH;LSK;ETH
LSKUSDT;LSK;USDT
LTCBNB;LTC;BNB
LTCBRL;LTC;BRL
LTCBTC;LTC;BTC
LTCBUSD;LTC;BUSD
LTCDOWNUSDT;LTCDOWN;USDT
LTCETH;LTC;ETH
LTCEUR;LTC;EUR
LTCGBP;LTC;GBP
LTCNGN;LTC;NGN
LTCPAX;LTC;PAX
LTCRUB;LTC;RUB
LTCTUSD;LTC;TUSD
LTCUPUSDT;LTCUP;USDT
LTCUSDC;LTC;USDC
LTCUSDT;LTC;USDT
LTOBNB;LTO;BNB
LTOBTC;LTO;BTC
LTOUSDT;LTO;USDT
LUNABNB;LUNA;BNB
LUNABTC;LUNA;BTC
LUNABUSD;LUNA;BUSD
LUNAEUR;LUNA;EUR
LUNAUSDT;LUNA;USDT
LUNBTC;LUN;BTC
LUNETH;LUN;ETH
MANABTC;MANA;BTC
MANABUSD;MANA;BUSD
MANAETH;MANA;ETH
MANAUSDT;MANA;USDT
MATICBNB;MATIC;BNB
MATICBTC;MATIC;BTC
MATICBUSD;MATIC;BUSD
MATICEUR;MATIC;EUR
MATICUSDT;MATIC;USDT
MBLBNB;MBL;BNB
MBLBTC;MBL;BTC
MBLUSDT;MBL;USDT
MCOBNB;MCO;BNB
MCOBTC;MCO;BTC
MCOETH;MCO;ETH
MCOUSDT;MCO;USDT
MDABTC;MDA;BTC
MDAETH;MDA;ETH
MDTBNB;MDT;BNB
MDTBTC;MDT;BTC
MDTUSDT;MDT;USDT
MFTBNB;MFT;BNB
MFTBTC;MFT;BTC
MFTETH;MFT;ETH
MFTUSDT;MFT;USDT
MIRBTC;MIR;BTC
MIRBUSD;MIR;BUSD
MIRUSDT;MIR;USDT
MITHBNB;MITH;BNB
MITHBTC;MITH;BTC
MITHUSDT;MITH;USDT
MKRBNB;MKR;BNB
MKRBTC;MKR;BTC
MKRBUSD;MKR;BUSD
MKRUSDT;MKR;USDT
MODBTC;MOD;BTC
MODETH;MOD;ETH
MTHBTC;MTH;BTC
MTHETH;MTH;ETH
MTLBTC;MTL;BTC
MTLETH;MTL;ETH
MTLUSDT;MTL;USDT
NANOBNB;NANO;BNB
NANOBTC;NANO;BTC
NANOBUSD;NANO;BUSD
NANOETH;NANO;ETH
NANOUSDT;NANO;USDT
NASBNB;NAS;BNB
NASBTC;NAS;BTC
NASETH;NAS;ETH
NAVBNB;NAV;BNB
NAVBTC;NAV;BTC
NAVETH;NAV;ETH
NBSBTC;NBS;BTC
NBSUSDT;NBS;USDT
NCASHBNB;NCASH;BNB
NCASHBTC;NCASH;BTC
NCASHETH;NCASH;ETH
NEARBNB;NEAR;BNB
NEARBTC;NEAR;BTC
NEARBUSD;NEAR;BUSD
NEARUSDT;NEAR;USDT
NEBLBNB;NEBL;BNB
NEBLBTC;NEBL;BTC
NEBLETH;NEBL;ETH
NEOBNB;NEO;BNB
NEOBTC;NEO;BTC
NEOBUSD;NEO;BUSD
NEOETH;NEO;ETH
NEOPAX;NEO;PAX
NEOTRY;NEO;TRY
NEOTUSD;NEO;TUSD
NEOUSDC;NEO;USDC
NEOUSDT;NEO;USDT
NKNBNB;NKN;BNB
NKNBTC;NKN;BTC
NKNUSDT;NKN;USDT
NMRBNB;NMR;BNB
NMRBTC;NMR;BTC
NMRBUSD;NMR;BUSD
NMRUSDT;NMR;USDT
NPXSBTC;NPXS;BTC
NPXSETH;NPXS;ETH
NPXSUSDC;NPXS;USDC
NPXSUSDT;NPXS;USDT
NULSBNB;NULS;BNB
NULSBTC;NULS;BTC
NULSETH;NULS;ETH
NULSUSDT;NULS;USDT
NXSBNB;NXS;BNB
NXSBTC;NXS;BTC
NXSETH;NXS;ETH
OAXBTC;OAX;BTC
OAXETH;OAX;ETH
OCEANBNB;OCEAN;BNB
OCEANBTC;OCEAN;BTC
OCEANBUSD;OCEAN;BUSD
OCEANUSDT;OCEAN;USDT
OGBTC;OGBTC;#¡VALOR!
OGNBNB;OGN;BNB
OGNBTC;OGN;BTC
OGNUSDT;OGN;USDT
OGUSDT;OGUSDT;#¡VALOR!
OMBTC;OMBTC;#¡VALOR!
OMBUSD;OMBUSD;#¡VALOR!
OMGBNB;OMG;BNB
OMGBTC;OMG;BTC
OMGBUSD;OMG;BUSD
OMGETH;OMG;ETH
OMGUSDT;OMG;USDT
OMUSDT;OMUSDT;#¡VALOR!
ONEBIDR;ONE;BIDR
ONEBNB;ONE;BNB
ONEBTC;ONE;BTC
ONEBUSD;ONE;BUSD
ONEPAX;ONE;PAX
ONETUSD;ONE;TUSD
ONEUSDC;ONE;USDC
ONEUSDT;ONE;USDT
ONGBNB;ONG;BNB
ONGBTC;ONG;BTC
ONGUSDT;ONG;USDT
ONTBNB;ONT;BNB
ONTBTC;ONT;BTC
ONTBUSD;ONT;BUSD
ONTETH;ONT;ETH
ONTPAX;ONT;PAX
ONTTRY;ONT;TRY
ONTUSDC;ONT;USDC
ONTUSDT;ONT;USDT
ORNBTC;ORN;BTC
ORNUSDT;ORN;USDT
OSTBNB;OST;BNB
OSTBTC;OST;BTC
OSTETH;OST;ETH
OXTBTC;OXT;BTC
OXTUSDT;OXT;USDT
PAXBNB;PAX;BNB
PAXBTC;PAX;BTC
PAXBUSD;PAX;BUSD
PAXETH;PAX;ETH
PAXGBNB;PAXG;BNB
PAXGBTC;PAXG;BTC
PAXGBUSD;PAXG;BUSD
PAXGUSDT;PAXG;USDT
PAXTUSD;PAX;TUSD
PAXUSDT;PAX;USDT
PERLBNB;PERL;BNB
PERLBTC;PERL;BTC
PERLUSDC;PERL;USDC
PERLUSDT;PERL;USDT
PERPBTC;PERP;BTC
PERPBUSD;PERP;BUSD
PERPUSDT;PERP;USDT
PHABTC;PHA;BTC
PHABUSD;PHA;BUSD
PHBBNB;PHB;BNB
PHBBTC;PHB;BTC
PHBPAX;PHB;PAX
PHBTUSD;PHB;TUSD
PHBUSDC;PHB;USDC
PHXBNB;PHX;BNB
PHXBTC;PHX;BTC
PHXETH;PHX;ETH
PIVXBNB;PIVX;BNB
PIVXBTC;PIVX;BTC
PIVXETH;PIVX;ETH
PNTBTC;PNT;BTC
PNTUSDT;PNT;USDT
POABNB;POA;BNB
POABTC;POA;BTC
POAETH;POA;ETH
POEBTC;POE;BTC
POEETH;POE;ETH
POLYBNB;POLY;BNB
POLYBTC;POLY;BTC
PONDBTC;POND;BTC
PONDBUSD;POND;BUSD
PONDUSDT;POND;USDT
POWRBNB;POWR;BNB
POWRBTC;POWR;BTC
POWRETH;POWR;ETH
PPTBTC;PPT;BTC
PPTETH;PPT;ETH
PROMBNB;PROM;BNB
PROMBUSD;PROM;BUSD
PROSETH;PROS;ETH
PSGBTC;PSG;BTC
PSGBUSD;PSG;BUSD
PSGUSDT;PSG;USDT
PUNDIXETH;PUNDIX;ETH
PUNDIXUSDT;PUNDIX;USDT
QKCBTC;QKC;BTC
QKCETH;QKC;ETH
QLCBNB;QLC;BNB
QLCBTC;QLC;BTC
QLCETH;QLC;ETH
QSPBNB;QSP;BNB
QSPBTC;QSP;BTC
QSPETH;QSP;ETH
QTUMBNB;QTUM;BNB
QTUMBTC;QTUM;BTC
QTUMBUSD;QTUM;BUSD
QTUMETH;QTUM;ETH
QTUMUSDT;QTUM;USDT
RAMPBTC;RAMP;BTC
RAMPBUSD;RAMP;BUSD
RAMPUSDT;RAMP;USDT
RCNBNB;RCN;BNB
RCNBTC;RCN;BTC
RCNETH;RCN;ETH
RDNBNB;RDN;BNB
RDNBTC;RDN;BTC
RDNETH;RDN;ETH
REEFBTC;REEF;BTC
REEFBUSD;REEF;BUSD
REEFUSDT;REEF;USDT
RENBNB;REN;BNB
RENBTC;REN;BTC
RENBTCBTC;RENBTC;BTC
RENBTCETH;RENBTC;ETH
RENUSDT;REN;USDT
REPBNB;REP;BNB
REPBTC;REP;BTC
REPBUSD;REP;BUSD
REPETH;REP;ETH
REPUSDT;REP;USDT
REQBTC;REQ;BTC
REQETH;REQ;ETH
RIFBTC;RIF;BTC
RIFUSDT;RIF;USDT
RLCBNB;RLC;BNB
RLCBTC;RLC;BTC
RLCETH;RLC;ETH
RLCUSDT;RLC;USDT
ROSEBTC;ROSE;BTC
ROSEBUSD;ROSE;BUSD
ROSEUSDT;ROSE;USDT
RPXBNB;RPX;BNB
RPXBTC;RPX;BTC
RPXETH;RPX;ETH
RSRBNB;RSR;BNB
RSRBTC;RSR;BTC
RSRBUSD;RSR;BUSD
RSRUSDT;RSR;USDT
RUNEBNB;RUNE;BNB
RUNEBTC;RUNE;BTC
RUNEBUSD;RUNE;BUSD
RUNEUSDT;RUNE;USDT
RVNBNB;RVN;BNB
RVNBTC;RVN;BTC
RVNBUSD;RVN;BUSD
RVNTRY;RVN;TRY
RVNUSDT;RVN;USDT
SALTBTC;SALT;BTC
SALTETH;SALT;ETH
SANDBNB;SAND;BNB
SANDBTC;SAND;BTC
SANDBUSD;SAND;BUSD
SANDUSDT;SAND;USDT
SCBNB;SCBNB;#¡VALOR!
SCBTC;SCBTC;#¡VALOR!
SCETH;SCETH;#¡VALOR!
SCRTBTC;SCRT;BTC
SCRTETH;SCRT;ETH
SCUSDT;SCUSDT;#¡VALOR!
SFPBTC;SFP;BTC
SFPBUSD;SFP;BUSD
SFPUSDT;SFP;USDT
SKLBTC;SKL;BTC
SKLBUSD;SKL;BUSD
SKLUSDT;SKL;USDT
SKYBNB;SKY;BNB
SKYBTC;SKY;BTC
SKYETH;SKY;ETH
SLPBUSD;SLP;BUSD
SLPETH;SLP;ETH
SLPUSDT;SLP;USDT
SNGLSBTC;SNGLS;BTC
SNGLSETH;SNGLS;ETH
SNMBTC;SNM;BTC
SNMETH;SNM;ETH
SNTBTC;SNT;BTC
SNTETH;SNT;ETH
SNXBNB;SNX;BNB
SNXBTC;SNX;BTC
SNXBUSD;SNX;BUSD
SNXUSDT;SNX;USDT
SOLBNB;SOL;BNB
SOLBTC;SOL;BTC
SOLBUSD;SOL;BUSD
SOLUSDT;SOL;USDT
SPARTABNB;SPARTA;BNB
SRMBIDR;SRM;BIDR
SRMBNB;SRM;BNB
SRMBTC;SRM;BTC
SRMBUSD;SRM;BUSD
SRMUSDT;SRM;USDT
STEEMBNB;STEEM;BNB
STEEMBTC;STEEM;BTC
STEEMETH;STEEM;ETH
STMXBNB;STMX;BNB
STMXBTC;STMX;BTC
STMXETH;STMX;ETH
STMXUSDT;STMX;USDT
STORJBTC;STORJ;BTC
STORJBUSD;STORJ;BUSD
STORJETH;STORJ;ETH
STORJUSDT;STORJ;USDT
STORMBNB;STORM;BNB
STORMBTC;STORM;BTC
STORMETH;STORM;ETH
STORMUSDT;STORM;USDT
STPTBNB;STPT;BNB
STPTBTC;STPT;BTC
STPTUSDT;STPT;USDT
STRATBNB;STRAT;BNB
STRATBTC;STRAT;BTC
STRATBUSD;STRAT;BUSD
STRATETH;STRAT;ETH
STRATUSDT;STRAT;USDT
STRAXBTC;STRAX;BTC
STRAXBUSD;STRAX;BUSD
STRAXETH;STRAX;ETH
STRAXUSDT;STRAX;USDT
STXBNB;STX;BNB
STXBTC;STX;BTC
STXUSDT;STX;USDT
SUBBTC;SUB;BTC
SUBETH;SUB;ETH
SUNBTC;SUN;BTC
SUNUSDT;SUN;USDT
SUPERBTC;SUPER;BTC
SUPERBUSD;SUPER;BUSD
SUPERUSDT;SUPER;USDT
SUSDBTC;SUSD;BTC
SUSDETH;SUSD;ETH
SUSDUSDT;SUSD;USDT
SUSHIBNB;SUSHI;BNB
SUSHIBTC;SUSHI;BTC
SUSHIBUSD;SUSHI;BUSD
SUSHIDOWNUSDT;SUSHIDOWN;USDT
SUSHIUPUSDT;SUSHIUP;USDT
SUSHIUSDT;SUSHI;USDT
SWRVBNB;SWRV;BNB
SWRVBUSD;SWRV;BUSD
SXPAUD;SXP;AUD
SXPBIDR;SXP;BIDR
SXPBNB;SXP;BNB
SXPBTC;SXP;BTC
SXPBUSD;SXP;BUSD
SXPDOWNUSDT;SXPDOWN;USDT
SXPEUR;SXP;EUR
SXPGBP;SXP;GBP
SXPTRY;SXP;TRY
SXPUPUSDT;SXPUP;USDT
SXPUSDT;SXP;USDT
SYSBNB;SYS;BNB
SYSBTC;SYS;BTC
SYSBUSD;SYS;BUSD
SYSETH;SYS;ETH
TCTBNB;TCT;BNB
TCTBTC;TCT;BTC
TCTUSDT;TCT;USDT
TFUELBNB;TFUEL;BNB
TFUELBTC;TFUEL;BTC
TFUELPAX;TFUEL;PAX
TFUELTUSD;TFUEL;TUSD
TFUELUSDC;TFUEL;USDC
TFUELUSDT;TFUEL;USDT
THETABNB;THETA;BNB
THETABTC;THETA;BTC
THETAETH;THETA;ETH
THETAEUR;THETA;EUR
THETAUSDT;THETA;USDT
TKOBIDR;TKO;BIDR
TKOBTC;TKO;BTC
TKOBUSD;TKO;BUSD
TKOUSDT;TKO;USDT
TLMBTC;TLM;BTC
TLMBUSD;TLM;BUSD
TLMUSDT;TLM;USDT
TNBBTC;TNB;BTC
TNBETH;TNB;ETH
TNTBTC;TNT;BTC
TNTETH;TNT;ETH
TOMOBNB;TOMO;BNB
TOMOBTC;TOMO;BTC
TOMOBUSD;TOMO;BUSD
TOMOUSDC;TOMO;USDC
TOMOUSDT;TOMO;USDT
TRBBNB;TRB;BNB
TRBBTC;TRB;BTC
TRBBUSD;TRB;BUSD
TRBUSDT;TRB;USDT
TRIGBNB;TRIG;BNB
TRIGBTC;TRIG;BTC
TRIGETH;TRIG;ETH
TROYBNB;TROY;BNB
TROYBTC;TROY;BTC
TROYUSDT;TROY;USDT
TRUBTC;TRU;BTC
TRUBUSD;TRU;BUSD
TRUUSDT;TRU;USDT
TRXAUD;TRX;AUD
TRXBNB;TRX;BNB
TRXBTC;TRX;BTC
TRXBUSD;TRX;BUSD
TRXDOWNUSDT;TRXDOWN;USDT
TRXETH;TRX;ETH
TRXEUR;TRX;EUR
TRXNGN;TRX;NGN
TRXPAX;TRX;PAX
TRXTRY;TRX;TRY
TRXTUSD;TRX;TUSD
TRXUPUSDT;TRXUP;USDT
TRXUSDC;TRX;USDC
TRXUSDT;TRX;USDT
TRXXRP;TRX;XRP
TUSDBNB;TUSD;BNB
TUSDBTC;TUSD;BTC
TUSDBTUSD;TUSDB;TUSD
TUSDBUSD;TUSD;BUSD
TUSDETH;TUSD;ETH
TUSDUSDT;TUSD;USDT
TVKBTC;TVK;BTC
TVKBUSD;TVK;BUSD
TWTBTC;TWT;BTC
TWTBUSD;TWT;BUSD
TWTUSDT;TWT;USDT
UFTBUSD;UFT;BUSD
UFTETH;UFT;ETH
UMABTC;UMA;BTC
UMAUSDT;UMA;USDT
UNFIBNB;UNFI;BNB
UNFIBTC;UNFI;BTC
UNFIBUSD;UNFI;BUSD
UNFIUSDT;UNFI;USDT
UNIBNB;UNI;BNB
UNIBTC;UNI;BTC
UNIBUSD;UNI;BUSD
UNIDOWNUSDT;UNIDOWN;USDT
UNIEUR;UNI;EUR
UNIUPUSDT;UNIUP;USDT
UNIUSDT;UNI;USDT
USDCBNB;USDC;BNB
USDCBUSD;USDC;BUSD
USDCPAX;USDC;PAX
USDCTUSD;USDC;TUSD
USDCUSDT;USDC;USDT
USDSBUSDS;USDSB;USDS
USDSBUSDT;USDSB;USDT
USDSPAX;USDS;PAX
USDSTUSD;USDS;TUSD
USDSUSDC;USDS;USDC
USDSUSDT;USDS;USDT
USDTBIDR;USDT;BIDR
USDTBKRW;USDT;BKRW
USDTBRL;USDT;BRL
USDTBVND;USDT;BVND
USDTDAI;USDT;DAI
USDTIDRT;USDT;IDRT
USDTNGN;USDT;NGN
USDTRUB;USDT;RUB
USDTTRY;USDT;TRY
USDTUAH;USDT;UAH
USDTZAR;USDT;ZAR
UTKBTC;UTK;BTC
UTKUSDT;UTK;USDT
VENBNB;VEN;BNB
VENBTC;VEN;BTC
VENETH;VEN;ETH
VENUSDT;VEN;USDT
VETBNB;VET;BNB
VETBTC;VET;BTC
VETBUSD;VET;BUSD
VETETH;VET;ETH
VETEUR;VET;EUR
VETGBP;VET;GBP
VETTRY;VET;TRY
VETUSDT;VET;USDT
VIABNB;VIA;BNB
VIABTC;VIA;BTC
VIAETH;VIA;ETH
VIBBTC;VIB;BTC
VIBEBTC;VIBE;BTC
VIBEETH;VIBE;ETH
VIBETH;VIB;ETH
VIDTBTC;VIDT;BTC
VIDTBUSD;VIDT;BUSD
VITEBNB;VITE;BNB
VITEBTC;VITE;BTC
VITEUSDT;VITE;USDT
VTHOBNB;VTHO;BNB
VTHOBUSD;VTHO;BUSD
VTHOUSDT;VTHO;USDT
WABIBNB;WABI;BNB
WABIBTC;WABI;BTC
WABIETH;WABI;ETH
WANBNB;WAN;BNB
WANBTC;WAN;BTC
WANETH;WAN;ETH
WANUSDT;WAN;USDT
WAVESBNB;WAVES;BNB
WAVESBTC;WAVES;BTC
WAVESBUSD;WAVES;BUSD
WAVESETH;WAVES;ETH
WAVESPAX;WAVES;PAX
WAVESTUSD;WAVES;TUSD
WAVESUSDC;WAVES;USDC
WAVESUSDT;WAVES;USDT
WBTCBTC;WBTC;BTC
WBTCETH;WBTC;ETH
WINBNB;WIN;BNB
WINBRL;WIN;BRL
WINBTC;WIN;BTC
WINEUR;WIN;EUR
WINGBNB;WING;BNB
WINGBTC;WING;BTC
WINGBUSD;WING;BUSD
WINGSBTC;WINGS;BTC
WINGSETH;WINGS;ETH
WINGUSDT;WING;USDT
WINTRX;WIN;TRX
WINUSDC;WIN;USDC
WINUSDT;WIN;USDT
WNXMBNB;WNXM;BNB
WNXMBTC;WNXM;BTC
WNXMBUSD;WNXM;BUSD
WNXMUSDT;WNXM;USDT
WPRBTC;WPR;BTC
WPRETH;WPR;ETH
WRXBNB;WRX;BNB
WRXBTC;WRX;BTC
WRXBUSD;WRX;BUSD
WRXEUR;WRX;EUR
WRXUSDT;WRX;USDT
WTCBNB;WTC;BNB
WTCBTC;WTC;BTC
WTCETH;WTC;ETH
WTCUSDT;WTC;USDT
XEMBNB;XEM;BNB
XEMBTC;XEM;BTC
XEMETH;XEM;ETH
XEMUSDT;XEM;USDT
XLMBNB;XLM;BNB
XLMBTC;XLM;BTC
XLMBUSD;XLM;BUSD
XLMDOWNUSDT;XLMDOWN;USDT
XLMETH;XLM;ETH
XLMEUR;XLM;EUR
XLMPAX;XLM;PAX
XLMTRY;XLM;TRY
XLMTUSD;XLM;TUSD
XLMUPUSDT;XLMUP;USDT
XLMUSDC;XLM;USDC
XLMUSDT;XLM;USDT
XMRBNB;XMR;BNB
XMRBTC;XMR;BTC
XMRBUSD;XMR;BUSD
XMRETH;XMR;ETH
XMRUSDT;XMR;USDT
XRPAUD;XRP;AUD
XRPBEARBUSD;XRPBEAR;BUSD
XRPBEARUSDT;XRPBEAR;USDT
XRPBKRW;XRP;BKRW
XRPBNB;XRP;BNB
XRPBRL;XRP;BRL
XRPBTC;XRP;BTC
XRPBULLBUSD;XRPBULL;BUSD
XRPBULLUSDT;XRPBULL;USDT
XRPBUSD;XRP;BUSD
XRPDOWNUSDT;XRPDOWN;USDT
XRPETH;XRP;ETH
XRPEUR;XRP;EUR
XRPGBP;XRP;GBP
XRPNGN;XRP;NGN
XRPPAX;XRP;PAX
XRPRUB;XRP;RUB
XRPTRY;XRP;TRY
XRPTUSD;XRP;TUSD
XRPUPUSDT;XRPUP;USDT
XRPUSDC;XRP;USDC
XRPUSDT;XRP;USDT
XTZBNB;XTZ;BNB
XTZBTC;XTZ;BTC
XTZBUSD;XTZ;BUSD
XTZDOWNUSDT;XTZDOWN;USDT
XTZUPUSDT;XTZUP;USDT
XTZUSDT;XTZ;USDT
XVGBTC;XVG;BTC
XVGBUSD;XVG;BUSD
XVGETH;XVG;ETH
XVSBNB;XVS;BNB
XVSBTC;XVS;BTC
XVSBUSD;XVS;BUSD
XVSUSDT;XVS;USDT
XZCBNB;XZC;BNB
XZCBTC;XZC;BTC
XZCETH;XZC;ETH
XZCUSDT;XZC;USDT
XZCXRP;XZC;XRP
YFIBNB;YFI;BNB
YFIBTC;YFI;BTC
YFIBUSD;YFI;BUSD
YFIDOWNUSDT;YFIDOWN;USDT
YFIEUR;YFI;EUR
YFIIBNB;YFII;BNB
YFIIBTC;YFII;BTC
YFIIBUSD;YFII;BUSD
YFIIUSDT;YFII;USDT
YFIUPUSDT;YFIUP;USDT
YFIUSDT;YFI;USDT
YOYOBNB;YOYO;BNB
YOYOBTC;YOYO;BTC
YOYOETH;YOYO;ETH
ZECBNB;ZEC;BNB
ZECBTC;ZEC;BTC
ZECBUSD;ZEC;BUSD
ZECETH;ZEC;ETH
ZECPAX;ZEC;PAX
ZECTUSD;ZEC;TUSD
ZECUSDC;ZEC;USDC
ZECUSDT;ZEC;USDT
ZENBNB;ZEN;BNB
ZENBTC;ZEN;BTC
ZENETH;ZEN;ETH
ZENUSDT;ZEN;USDT
ZILBIDR;ZIL;BIDR
ZILBNB;ZIL;BNB
ZILBTC;ZIL;BTC
ZILBUSD;ZIL;BUSD
ZILETH;ZIL;ETH
ZILUSDT;ZIL;USDT
ZRXBNB;ZRX;BNB
ZRXBTC;ZRX;BTC
ZRXBUSD;ZRX;BUSD
ZRXETH;ZRX;ETH
ZRXUSDT;ZRX;USDT
